ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
USDCNH.FXCM,20150401,6.20427,6.20199,6.20946,6.1986,6.20709,6.20589,6.21215,6.20091,16168
USDCNH.FXCM,20150402,6.20199,6.1976,6.20606,6.1973,6.20589,6.20159,6.20897,6.2001,14455
USDCNH.FXCM,20150403,6.1976,6.19267,6.20311,6.19231,6.20159,6.19977,6.20599,6.19559,7879
USDCNH.FXCM,20150406,6.19267,6.19462,6.1973,6.1918,6.19977,6.19765,6.19981,6.19434,5620
USDCNH.FXCM,20150407,6.19462,6.19877,6.20032,6.19153,6.19765,6.20181,6.20262,6.19417,20352
USDCNH.FXCM,20150408,6.19877,6.20533,6.20874,6.19718,6.20181,6.20801,6.21122,6.19943,14641
USDCNH.FXCM,20150409,6.20533,6.21721,6.2183,6.20425,6.20801,6.22179,6.22179,6.2081,16346
USDCNH.FXCM,20150410,6.21721,6.2164,6.22084,6.2144,6.22179,6.2202,6.223,6.21671,14073
USDCNH.FXCM,20150412,6.2164,6.2147,6.21481,6.21469,6.2202,6.22266,6.22271,6.22258,50
USDCNH.FXCM,20150413,6.2147,6.22361,6.22826,6.21469,6.22266,6.22711,6.23096,6.21869,16762
USDCNH.FXCM,20150414,6.22361,6.21317,6.2258,6.211,6.22711,6.21654,6.22918,6.21328,21378
USDCNH.FXCM,20150415,6.21317,6.19792,6.21477,6.19737,6.21654,6.20219,6.21833,6.19999,17495
USDCNH.FXCM,20150416,6.19792,6.18705,6.20155,6.18611,6.20219,6.18979,6.20696,6.18849,23027
USDCNH.FXCM,20150417,6.18705,6.1928,6.19743,6.185,6.18979,6.1962,6.19984,6.1875,22935
USDCNH.FXCM,20150419,6.1928,6.19368,6.19518,6.19149,6.1962,6.19864,6.19945,6.1975,43
USDCNH.FXCM,20150420,6.19368,6.19469,6.20285,6.19447,6.19864,6.1977,6.2052,6.1967,19466
USDCNH.FXCM,20150421,6.19469,6.19572,6.20074,6.1944,6.1977,6.19836,6.20295,6.19764,16645
USDCNH.FXCM,20150422,6.19572,6.19353,6.19816,6.18842,6.19836,6.19601,6.2004,6.1912,20891
USDCNH.FXCM,20150423,6.19353,6.18775,6.19737,6.18775,6.19601,6.1928,6.20034,6.19134,24182
USDCNH.FXCM,20150424,6.18775,6.19289,6.19855,6.18872,6.1928,6.19969,6.20083,6.19092,21326
USDCNH.FXCM,20150426,6.19289,6.19224,6.19227,6.1922,6.19969,6.2001,6.20013,6.20006,45
USDCNH.FXCM,20150427,6.19224,6.2161,6.22348,6.19273,6.2001,6.2191,6.2259,6.19491,25718
USDCNH.FXCM,20150428,6.2161,6.20322,6.21867,6.19946,6.2191,6.2058,6.2209,6.20219,27110
USDCNH.FXCM,20150429,6.20322,6.19995,6.20724,6.19797,6.2058,6.20291,6.20952,6.20121,24634
USDCNH.FXCM,20150430,6.19995,6.2065,6.21079,6.1963,6.20291,6.20979,6.2132,6.19849,41868
USDCNH.FXCM,20150501,6.2065,6.20997,6.2135,6.2063,6.20979,6.21677,6.21677,6.20878,10211
USDCNH.FXCM,20150503,6.20997,6.20931,6.20933,6.20783,6.21677,6.21487,6.21504,6.21389,45
