date,close,unit_nav,premium
2022-04-15,1.122,1.1187,0.002949852507374784
2022-04-18,1.114,1.12,-0.005357142857142838
2022-04-19,1.129,1.145,-0.013973799126637543
2022-04-20,1.142,1.1346,0.006522122333862068
2022-04-21,1.148,1.1171,0.027660907707456772
2022-04-22,1.126,1.0917,0.03141888797288628
2022-04-25,1.094,1.1188,-0.02216660707901319
2022-04-26,1.119,1.0761,0.039866183440200764
2022-04-27,1.088,1.0761,0.011058451816745585
2022-04-28,1.103,1.1215,-0.01649576460098079
2022-04-29,1.118,1.0681,0.046718472053178584
2022-05-05,1.128,1.0726,0.051650195785940545
2022-05-06,1.086,1.0695,0.015427769985974837
2022-05-09,1.07,1.0336,0.035216718266253944
2022-05-10,1.054,1.0468,0.006878104700038357
2022-05-11,1.059,1.0151,0.04324697074179884
2022-05-12,1.021,1.0215,-0.0004894762604015224
2022-05-13,1.041,1.0592,-0.017182779456193398
2022-05-16,1.054,1.0498,0.004000762049914286
2022-05-17,1.058,1.0698,-0.011030099083940925
2022-05-18,1.064,1.0154,0.04786291116801267
2022-05-19,1.02,1.0127,0.007208452651328301
2022-05-20,1.022,0.9961,0.026001405481377304
2022-05-23,1.023,1.0119,0.010969463385710032
2022-05-24,0.999,0.9893,0.009804912564439494
2022-05-25,1.005,1.0043,0.0006970028875832313
2022-05-26,1.013,1.0421,-0.027924383456482182
2022-05-27,1.044,1.076,-0.029739776951672847
2022-05-30,1.081,1.0651,0.014928175758144757
2022-05-31,1.072,1.0619,0.009511253413692522
2022-06-01,1.067,1.0585,0.008030231459612569
2022-06-02,1.06,1.0856,-0.02358142962417087
2022-06-06,1.061,1.056,0.004734848484848397
2022-06-07,1.051,1.0684,-0.0162860351928118
2022-06-08,1.066,1.0622,0.0035774807004331777
2022-06-09,1.06,1.0345,0.024649589173513897
2022-06-10,1.043,0.9978,0.04529965925035073
2022-06-13,0.992,0.9581,0.03538252791984142
2022-06-14,0.988,0.9598,0.029381121066888838
2022-06-15,0.994,0.9821,0.012116892373485344
2022-06-16,0.991,0.9416,0.05246389124893791
2022-06-17,0.982,0.9516,0.0319461958806222
2022-06-20,0.994,0.9493,0.04708732750447697
2022-06-21,1.001,0.9747,0.026982661331691693
2022-06-22,0.992,0.9765,0.015873015873015817
2022-06-23,1.001,0.9891,0.012031139419674375
2022-06-24,1.01,1.0217,-0.01145150239796422
2022-06-27,1.03,1.012,0.017786561264822254
2022-06-28,1.026,0.9809,0.04597818330105019
2022-06-29,0.996,0.9848,0.011372867587327473
2022-06-30,0.99,0.9707,0.01988255897805713
2022-07-01,0.984,0.9788,0.005312627707396711
2022-07-04,0.992,0.9777,0.014626163444819484
2022-07-05,1.002,0.9945,0.007541478129713397
2022-07-06,1.011,1.0019,0.009082742788701248
2022-07-07,1.024,1.0239,9.766578767456124e-05
2022-07-08,1.033,1.0246,0.008198321296115418
2022-07-11,1.023,1.0027,0.020245337588510992
2022-07-12,1.011,0.9968,0.014245585874799183
2022-07-13,1.014,0.9931,0.0210452119625415
2022-07-14,1.005,0.9991,0.005905314783304805
2022-07-15,1.018,1.0214,-0.0033287644409634165
2022-07-18,1.043,1.0089,0.03379918723362074
2022-07-19,1.027,1.0407,-0.013164216392812622
2022-07-20,1.056,1.0583,-0.002173296796749491
2022-07-21,1.065,1.0753,-0.00957872221705569
2022-07-22,1.072,1.057,0.014191106906338735
2022-07-25,1.059,1.0489,0.009629135284583867
2022-07-26,1.054,1.0287,0.024594147953728163
2022-07-27,1.053,1.0728,-0.01845637583892623
2022-07-28,1.071,1.0802,-0.008516941307165404
2022-07-29,1.098,1.0975,0.0004555808656037108
2022-08-01,1.098,1.1006,-0.0023623478102852147
2022-08-02,1.095,1.0986,-0.003276897870016393
