日期,纳指ETF,红利低波ETF,中证500ETF,黄金ETF,国债ETF
2017-06-09,0.4244,0.5329,5.1088,2.7800,107.0046
2017-06-16,0.4102,0.5240,5.1441,2.7550,107.2689
2017-06-23,0.4142,0.5409,5.1474,2.7640,107.1285
2017-06-30,0.4024,0.5446,5.2615,2.7140,107.0416
2017-07-07,0.3994,0.5443,5.3429,2.6860,107.2865
2017-07-14,0.4110,0.5473,5.2481,2.6750,107.1002
2017-07-21,0.4188,0.5530,5.2456,2.7240,107.0573
2017-07-28,0.4156,0.5512,5.3404,2.7350,106.9909
2017-08-04,0.4148,0.5433,5.3463,2.7480,107.2026
2017-08-11,0.4060,0.5381,5.3051,2.7630,107.1753
2017-08-18,0.4086,0.5461,5.4570,2.7630,107.2709
2017-08-25,0.4098,0.5521,5.4629,2.7490,107.3245
2017-09-01,0.4136,0.5503,5.6248,2.7750,107.2592
2017-09-08,0.4076,0.5492,5.6600,2.7940,107.4543
2017-09-15,0.4098,0.5517,5.6986,2.7800,107.3948
2017-09-22,0.4100,0.5534,5.6516,2.7380,107.1977
2017-09-29,0.4138,0.5528,5.6953,2.7420,107.1802
2017-10-13,0.4202,0.5653,5.7783,2.7340,107.1675
2017-10-20,0.4244,0.5703,5.6533,2.7230,107.0290
2017-10-27,0.4248,0.5802,5.7171,2.7060,106.6739
2017-11-03,0.4356,0.5676,5.5174,2.7130,106.3344
2017-11-10,0.4390,0.5795,5.7070,2.7350,106.8387
2017-11-17,0.4404,0.5828,5.4805,2.7280,106.6124
2017-11-24,0.4414,0.5773,5.3924,2.7320,106.2525
2017-12-01,0.4480,0.5655,5.4226,2.7020,106.6485
2017-12-08,0.4418,0.5633,5.3211,2.6510,106.6934
2017-12-15,0.4462,0.5598,5.3697,2.6730,106.6914
2017-12-22,0.4536,0.5667,5.3597,2.6780,106.8622
2017-12-29,0.4456,0.5720,5.3790,2.7080,106.7080
2018-01-05,0.4498,0.5908,5.5208,2.7280,106.9100
2018-01-12,0.4622,0.6010,5.4981,2.7740,106.9821
2018-01-19,0.4618,0.6094,5.3798,2.7510,106.8748
2018-01-26,0.4638,0.6224,5.4973,2.7670,107.2455
2018-02-02,0.4586,0.6070,5.1390,2.7310,107.2289
2018-02-09,0.4182,0.5512,4.7472,2.6920,107.6865
2018-02-14,0.4384,0.5650,4.9276,2.7300,107.8143
2018-02-23,0.4496,0.5806,5.0409,2.7120,107.6270
2018-03-02,0.4504,0.5744,5.2053,2.7000,108.2591
2018-03-09,0.4636,0.5855,5.3412,2.7000,108.1469
2018-03-16,0.4674,0.5787,5.2640,2.6880,108.1020
2018-03-23,0.4406,0.5547,4.9620,2.7410,108.3313
2018-03-30,0.4386,0.5529,5.2481,2.6920,108.4903
2018-04-04,0.4258,0.5473,5.1541,2.7120,108.6083
2018-04-13,0.4404,0.5502,5.1667,2.7140,109.0395
2018-04-20,0.4470,0.5332,5.0451,2.7220,109.3702
2018-04-27,0.4464,0.5335,5.0316,2.6920,109.6082
2018-05-04,0.4454,0.5407,5.0652,2.6870,109.5517
2018-05-11,0.4632,0.5558,5.1499,2.6930,109.3390
2018-05-18,0.4614,0.5594,5.1617,2.6440,109.3039
2018-05-25,0.4652,0.5515,5.0845,2.6780,109.7390
2018-06-01,0.4680,0.5500,4.8907,2.6800,109.4424
2018-06-08,0.4808,0.5513,4.8806,2.6640,109.3858
2018-06-15,0.4942,0.5517,4.7229,2.6820,109.4102
2018-06-22,0.4974,0.5291,4.4318,2.6530,109.6638
2018-06-29,0.4896,0.5177,4.4913,2.6610,110.0931
2018-07-06,0.4992,0.4931,4.2824,2.6800,110.2248
2018-07-13,0.5204,0.5097,4.4771,2.6650,110.1340
2018-07-20,0.5218,0.5085,4.4620,2.6550,110.5750
2018-07-27,0.5314,0.5154,4.5232,2.6690,110.4667
2018-08-03,0.5402,0.4870,4.2430,2.6630,111.1047
2018-08-10,0.5332,0.4983,4.3294,2.6560,110.8676
2018-08-17,0.5334,0.4762,4.1289,2.5980,109.8765
2018-08-24,0.5330,0.4853,4.1734,2.6280,110.2472
2018-08-31,0.5478,0.4885,4.1490,2.6460,110.6813
2018-09-07,0.5322,0.4821,4.1180,2.6420,110.3721
2018-09-14,0.5442,0.4839,4.0123,2.6560,110.3135
2018-09-21,0.5438,0.5070,4.1516,2.6570,110.4872
2018-09-28,0.5506,0.5116,4.1482,2.6230,110.9437
2018-10-12,0.5126,0.4702,3.6566,2.7020,111.2744
2018-10-19,0.5196,0.4644,3.5307,2.7340,111.7095
2018-10-26,0.4978,0.4750,3.6213,2.7570,111.4978
2018-11-02,0.5092,0.4840,3.8361,2.7310,111.3759
2018-11-09,0.5148,0.4710,3.7614,2.7180,111.8929
2018-11-16,0.4946,0.4870,4.0224,2.7070,112.7192
2018-11-23,0.4720,0.4719,3.7497,2.7310,111.8831
2018-11-30,0.4984,0.4754,3.7765,2.7320,111.9456
2018-12-07,0.4878,0.4799,3.8042,2.7380,112.8196
2018-12-14,0.4820,0.4804,3.7606,2.7450,112.8333
2018-12-21,0.4532,0.4747,3.6582,2.7880,113.2059
2018-12-28,0.4484,0.4782,3.5853,2.8260,113.7386
2019-01-04,0.4446,0.4777,3.6415,2.8530,113.6742
2019-01-11,0.4654,0.4836,3.7228,2.8050,113.7171
2019-01-18,0.4754,0.4902,3.7598,2.8110,113.7483
2019-01-25,0.4740,0.4941,3.7287,2.7970,113.6683
2019-02-01,0.4852,0.5014,3.7254,2.8520,113.9698
2019-02-15,0.4914,0.5043,3.8915,2.8610,114.2019
2019-02-22,0.4924,0.5156,4.1600,2.8600,113.9464
2019-03-01,0.4972,0.5376,4.4083,2.8260,113.5718
2019-03-08,0.4882,0.5317,4.5761,2.7990,113.6361
2019-03-15,0.5080,0.5459,4.6499,2.8110,113.5171
2019-03-22,0.5228,0.5654,4.9033,2.8330,113.6322
2019-03-29,0.5136,0.5718,4.8362,2.7880,114.0010
2019-04-04,0.5270,0.5977,5.1374,2.7980,113.5737
2019-04-12,0.5306,0.5913,4.9855,2.8000,113.2196
2019-04-19,0.5350,0.5967,5.0736,2.7620,113.1191
2019-04-26,0.5554,0.5571,4.7145,2.7730,113.1669
2019-04-30,0.5612,0.5635,4.6096,2.7770,113.2420
2019-05-10,0.5376,0.5454,4.3949,2.8080,113.5357
2019-05-17,0.5416,0.5366,4.2975,2.8540,113.7288
2019-05-24,0.5262,0.5307,4.2128,2.8560,113.8049
2019-05-31,0.5144,0.5390,4.2648,2.8780,114.0927
2019-06-06,0.5168,0.5342,4.0601,2.9620,114.1278
2019-06-14,0.5356,0.5390,4.1818,3.0220,114.0810
