日期,pe_percentile
2018-04-23,75.07936507936508
2018-04-30,67.14285714285714
2018-05-07,65.47619047619048
2018-05-14,62.06349206349206
2018-05-21,68.0952380952381
2018-05-28,71.19047619047619
2018-06-04,62.06349206349206
2018-06-11,58.17460317460318
2018-06-18,56.90476190476191
2018-06-25,61.26984126984127
2018-07-02,49.04761904761904
2018-07-09,45.15873015873016
2018-07-16,39.84126984126984
2018-07-23,45.07936507936508
2018-07-30,44.52380952380952
2018-08-06,45.87301587301587
2018-08-13,36.19047619047619
2018-08-20,41.03174603174603
2018-08-27,32.142857142857146
2018-09-03,35.07936507936508
2018-09-10,32.142857142857146
2018-09-17,29.28571428571429
2018-09-24,28.96825396825397
2018-10-01,32.22222222222222
2018-10-08,38.17460317460317
2018-10-15,40.79365079365079
2018-10-22,27.460317460317462
2018-10-29,26.58730158730159
2018-11-05,27.77777777777778
2018-11-12,28.33333333333333
2018-11-19,24.84126984126984
2018-11-26,25.87301587301588
2018-12-03,23.41269841269841
2018-12-10,23.730158730158728
2018-12-17,23.49206349206349
2018-12-24,23.015873015873016
2018-12-31,21.349206349206348
2019-01-07,21.03174603174603
2019-01-14,21.26984126984127
2019-01-21,21.746031746031747
2019-01-28,23.88888888888889
2019-02-04,24.52380952380952
2019-02-11,26.031746031746035
2019-02-18,27.77777777777778
2019-02-25,30.15873015873016
2019-03-04,40.07936507936508
2019-03-11,53.095238095238095
2019-03-18,45.63492063492063
2019-03-25,48.49206349206349
2019-04-01,54.68253968253968
2019-04-08,57.93650793650794
2019-04-15,73.57142857142858
2019-04-22,65.71428571428571
2019-04-29,74.84126984126985
2019-05-06,54.6031746031746
2019-05-13,49.2063492063492
2019-05-20,38.333333333333336
2019-05-27,34.12698412698413
2019-06-03,31.428571428571427
2019-06-10,34.6031746031746
2019-06-17,29.92063492063492
2019-06-24,35.63492063492063
2019-07-01,48.888888888888886
2019-07-08,47.3015873015873
2019-07-15,52.85714285714286
2019-07-22,44.12698412698413
2019-07-29,42.85714285714285
2019-08-05,45.79365079365079
2019-08-12,39.12698412698413
2019-08-19,32.06349206349206
2019-08-26,34.04761904761905
2019-09-02,38.333333333333336
2019-09-09,35.55555555555556
2019-09-16,42.93650793650794
2019-09-23,45.3968253968254
2019-09-30,41.34920634920635
2019-10-07,37.06349206349206
2019-10-14,
2019-10-21,40.3968253968254
2019-10-28,37.93650793650794
2019-11-04,38.41269841269842
2019-11-11,35.63492063492063
2019-11-18,36.58730158730158
2019-11-25,28.65079365079365
2019-12-02,26.269841269841272
2019-12-09,24.20634920634921
2019-12-16,29.28571428571429
2019-12-23,35.714285714285715
2019-12-30,43.73015873015873
2020-01-06,43.17460317460318
2020-01-13,54.920634920634924
2020-01-20,54.2063492063492
2020-01-27,50.55555555555556
2020-02-03,48.01587301587302
2020-02-10,36.82539682539683
2020-02-17,24.761904761904763
2020-02-24,31.666666666666664
2020-03-02,46.42857142857143
2020-03-09,24.047619047619047
2020-03-16,40.0
2020-03-23,19.52380952380953
2020-03-30,8.492063492063492
2020-04-06,9.603174603174605
2020-04-13,10.634920634920634
2020-04-20,11.746031746031743
2020-04-27,15.23809523809524
2020-05-04,14.523809523809526
2020-05-11,21.11111111111111
2020-05-18,36.98412698412699
2020-05-25,32.857142857142854
2020-06-01,24.365079365079364
2020-06-08,28.809523809523807
2020-06-15,40.63492063492063
2020-06-22,40.15873015873016
2020-06-29,52.93650793650794
2020-07-06,56.66666666666666
2020-07-13,77.53968253968254
2020-07-20,89.76190476190476
2020-07-27,79.68253968253968
2020-08-03,77.93650793650794
2020-08-10,81.82539682539682
2020-08-17,83.25396825396825
2020-08-24,85.55555555555556
2020-08-31,87.06349206349206
2020-09-07,90.15873015873017
2020-09-14,95.63492063492065
2020-09-21,90.63492063492065
2020-09-28,96.11111111111111
2020-10-05,86.19047619047619
2020-10-12,88.65079365079364
2020-10-19,93.73015873015872
2020-10-26,97.53968253968252
2020-11-02,95.71428571428572
2020-11-09,88.88888888888889
2020-11-16,96.74603174603176
2020-11-23,95.87301587301587
2020-11-30,98.25396825396824
2020-12-07,98.73015873015872
2020-12-14,98.73015873015872
2020-12-21,96.03174603174604
2020-12-28,99.12698412698413
2021-01-04,99.36507936507935
2021-01-11,100.0
2021-01-18,99.92063492063492
2021-01-25,99.6031746031746
2021-02-01,99.76190476190476
2021-02-08,98.57142857142858
2021-02-15,98.57142857142858
2021-02-22,99.76190476190476
2021-03-01,99.92063492063492
2021-03-08,97.38095238095238
2021-03-15,96.984126984127
2021-03-22,96.26984126984128
2021-03-29,93.8095238095238
2021-04-05,93.88888888888889
2021-04-12,92.61904761904762
2021-04-19,91.26984126984128
2021-04-26,88.25396825396825
2021-05-03,91.03174603174602
2021-05-10,84.44444444444444
2021-05-17,68.96825396825396
2021-05-24,71.58730158730158
2021-05-31,71.26984126984127
2021-06-07,83.57142857142857
2021-06-14,80.3968253968254
2021-06-21,80.3968253968254
2021-06-28,81.66666666666667
2021-07-05,88.17460317460318
2021-07-12,78.96825396825396
2021-07-19,75.95238095238095
2021-07-26,75.07936507936508
2021-08-02,74.84126984126985
2021-08-09,62.53968253968254
2021-08-16,64.76190476190476
2021-08-23,66.34920634920634
2021-08-30,59.12698412698413
2021-09-06,57.93650793650794
2021-09-13,48.73015873015873
2021-09-20,58.333333333333336
2021-09-27,47.85714285714286
2021-10-04,48.65079365079365
2021-10-11,47.61904761904761
2021-10-18,52.22222222222223
2021-10-25,51.98412698412699
2021-11-01,53.333333333333336
2021-11-08,49.68253968253968
2021-11-15,37.53968253968254
2021-11-22,40.23809523809524
2021-11-29,41.19047619047619
2021-12-06,38.65079365079365
2021-12-13,43.49206349206349
2021-12-20,51.98412698412699
2021-12-27,65.55555555555556
2022-01-03,63.8095238095238
2022-01-10,63.095238095238095
2022-01-17,60.47619047619048
2022-01-24,52.93650793650794
2022-01-31,56.58730158730159
2022-02-07,45.3968253968254
2022-02-14,41.03174603174603
2022-02-21,48.333333333333336
2022-02-28,49.60317460317461
2022-03-07,43.095238095238095
2022-03-14,38.65079365079365
2022-03-21,23.96825396825397
2022-03-28,21.50793650793651
2022-04-04,16.349206349206348
2022-04-11,22.063492063492063
2022-04-18,22.857142857142858
2022-04-25,20.476190476190474
2022-05-02,11.190476190476192
2022-05-09,7.777777777777778
2022-05-16,7.222222222222221
2022-05-23,9.603174603174605
2022-05-30,12.777777777777777
2022-06-06,11.34920634920635
2022-06-13,13.80952380952381
2022-06-20,24.6031746031746
2022-06-27,33.095238095238095
2022-07-04,37.77777777777778
2022-07-11,41.03174603174603
2022-07-18,38.095238095238095
2022-07-25,21.984126984126984
2022-08-01,22.61904761904762
2022-08-08,15.873015873015872
2022-08-15,15.793650793650793
2022-08-22,18.65079365079365
2022-08-29,15.396825396825395
2022-09-05,12.777777777777777
2022-09-12,7.936507936507936
2022-09-19,8.73015873015873
2022-09-26,5.555555555555555
2022-10-03,4.285714285714286
2022-10-10,3.1746031746031744
2022-10-17,2.9365079365079363
2022-10-24,3.888888888888889
2022-10-31,1.1904761904761905
2022-11-07,0.0793650793650793
2022-11-14,1.746031746031746
2022-11-21,2.4603174603174605
2022-11-28,2.9365079365079363
2022-12-05,4.285714285714286
2022-12-12,6.904761904761905
2022-12-19,12.22222222222222
2022-12-26,11.34920634920635
2023-01-02,6.190476190476191
2023-01-09,7.142857142857142
2023-01-16,13.88888888888889
2023-01-23,18.88888888888889
2023-01-30,21.11111111111111
2023-02-06,22.301587301587304
2023-02-13,20.873015873015877
2023-02-20,19.52380952380953
2023-02-27,16.349206349206348
2023-03-06,18.88888888888889
2023-03-13,26.34920634920635
2023-03-20,16.428571428571427
2023-03-27,20.714285714285715
2023-04-03,23.65079365079365
2023-04-10,24.047619047619047
2023-04-17,31.9047619047619
2023-04-24,33.57142857142857
2023-05-01,33.65079365079365
2023-05-08,28.17460317460317
2023-05-15,32.93650793650794
2023-05-22,25.0
2023-05-29,25.23809523809524
2023-06-05,16.19047619047619
2023-06-12,18.17460317460317
